id,category,title,description,seller_price,buyer_price,short_name
2_6153400134,electronics,Vintage Advent Heritage tower speakers,"These speakers are in great condition. My grandfather used these up until a few years ago when he passed away. They've been sitting in the house not being used since. We've kept them dusted and clean, but haven't used them in a while, so that's why we're selling them cheap. You are responsible for transportation and testing them out yourself.",100,76,tower speakers
3_6147497081,bike,Ellsworth moment mountain bike.Large,I have had this bike for about 8 year. It rides great and many components have been upgraded. Call/text with any questions.,1200,1104,Mountain bike
5_6153405169,bike,Enduro Comp SL 2007 - Size M,"My mom bought this bike in 2007 and logged a low number of miles the next few years, but its been sitting in the garage mostly since 2010. Only thing not included is the pedals. Also comes with a women's seat and front/rear shock manuals.",950,722,Mountain bike
6_6144368121,furniture,"Bar Stools, Modern Style, Great For Restuarnt, Businees, Home, OBO","Bar Stools, Modern Style Chairs, Seating. Plastic with metal frame, Great For Restuarnt, Businees, Home, Art Gallery, Functions. CAN DELIVER for a fee or pick up in Berkeley.",15,13,Bar Stools
7_6148331205,electronics,Samsung Gear S3 Classic,Samsung s3 Classic Flawless!,275,253,Smartwatch
8_6149808047,electronics,Swann 4 Camera Home Security System,Swann Swdvk-414254-se Dvr4-1425 4 Channel DVR with 4 Pro-510 Cameras and Smartphone Android or iOS connectivity.,165,125,Home Security System
9_6121426872,car,2004 Lexus RX 330,"Here is one prime example of a clean 2004 Lexus RX 330. The car is never smoked in and no pets. As clean as they come for the year. Just serviced 20 miles ago, has brand-new tires on. Fresh battery and all fluids.",7500,6900,Luxury SUV
10_6111812328,furniture,Media Cabinet (Moving Sale),Slide out tray for media storage Condition: Structurally sound Good condition,20,15,Media Cabinet
12_6138549838,furniture,Broyhill (3) Piece Solid Pine Entertainment/Armoire set,"Bookcases: 73.5"" H x 17.5"" D x 36"" W The unit is very sturdy and well made (meaning heavy). Will need 2 to lift / carry it, but it will fit inside a standard truck bed, no problem. Still in Great condition, would be considered Excellent with the exception of the below:",200,184,Pine furniture set
13_6144629785,electronics,Polycom Soundstation + (2) Free Linksys VOIP Adapters,"Polycom SoundStation 2201-03308-001 F Analog Conference Phone, Power Wall Module -360 degree coverage from its 3 microphones, full-duplex operation with echo and noise suppression allows for natural two way conversations in a teleconferencing environment",50,38,Conference phone system
15_6133348593,electronics,VIZIO S5451w-C2 5.1 Channel Sound Bar with Subwoofer and Surrounds,"Up for sale is my Vizio S5251w-C2 5.1 soundbar. I have owned this for about a year now and it has been running flawlessly. I live in an apartment so I have probably not even turned the volume past 50 percent since I have owned it. What makes this soundbar great is not only is the subwoofer wireless, it also has two rear speakers that make this a true 5.1 surround system instead of traditional soundbar 2.1 systems. The speakers are in great condition, the only reason I'm selling them is because I will be moving out soon.",290,174,Sound bar system
18_6153428705,bike,2009 Motobecane FLY Pro Hardtail MTB,"Aluminum; lightweight bike, probably ~24 pounds. 16"" frame or so; I'm 5'8"" and just a bit too big, so probably best for someone in the 5'4""-5'7"" range. FSA V-drive cranks Vuelta XRP Pro super lite wheels",800,736,Mountain bike
19_6154570673,electronics,NOT GETTING SIGNAL  CALL THE SATTELITE GUY,NOT GETTING SIGNAL CALL THE SATTELITE GUY,49,29,None
20_6144792983,furniture,CEILING FIXTURES,"Beautiful, sea-foam green, frosted glass, flush mount ceiling fixtures, by Lithonia.",45,41,Ceiling Fixtures
21_6123087414,housing,"$1,000 off Move in Special!","*The posted rent price does not include parking, which is available at this unit for an additional charge. *Photos are a representation of the unit and may not be entirely the same as the actual unit. *Start your Application process Online now at",1583,949,None
23_6148329949,electronics,Samsung Gear S2,Available in Black or white,175,105,Smartwatch
